id,file,text
0,./data/train/FAEM0/SA1.WAV.wav,She had your dark suit in greasy wash water all year.
1,./data/train/FAEM0/SA2.WAV.wav,Don't ask me to carry an oily rag like that.
2,./data/train/FAEM0/SI1392.WAV.wav,Assume
3,./data/train/FAEM0/SI2022.WAV.wav,What outfit does she drive for?
4,./data/train/FAEM0/SI762.WAV.wav,Fill small hole in bowl with clay.
5,./data/train/FAEM0/SX132.WAV.wav,Publicity and notoriety go hand in hand.
6,./data/train/FAEM0/SX222.WAV.wav,You always come up with pathological examples.
7,./data/train/FAEM0/SX312.WAV.wav,Those answers will be straightforward if you think them through carefully first.
8,./data/train/FAEM0/SX402.WAV.wav,We'll serve rhubarb pie after Rachel's talk.
9,./data/train/FAEM0/SX42.WAV.wav,Biblical scholars argue history.
10,./data/train/FAJW0/SA1.WAV.wav,She had your dark suit in greasy wash water all year.
11,./data/train/FAJW0/SA2.WAV.wav,Don't ask me to carry an oily rag like that.
12,./data/train/FAJW0/SI1263.WAV.wav,Both have excellent integration of their fiscal tax collection year calendars.
13,./data/train/FAJW0/SI1893.WAV.wav,It took him a long time to compose himself.
14,./data/train/FAJW0/SI633.WAV.wav,He liked to nip ear lobes of unsuspecting visitors with his needle-sharp teeth.
15,./data/train/FAJW0/SX183.WAV.wav,Why else would Danny allow others to go?
16,./data/train/FAJW0/SX273.WAV.wav,The angry boy answered but didn't look up.
17,./data/train/FAJW0/SX3.WAV.wav,This was easy for us.
18,./data/train/FAJW0/SX363.WAV.wav,The cow wandered from the farmland and became lost.
19,./data/train/FAJW0/SX93.WAV.wav,Cut a small corner off each edge.
20,./data/train/FALK0/SA1.WAV.wav,She had your dark suit in greasy wash water all year.
21,./data/train/FALK0/SA2.WAV.wav,Don't ask me to carry an oily rag like that.
22,./data/train/FALK0/SI1086.WAV.wav,Then the choreographer must arbitrate.
23,./data/train/FALK0/SI456.WAV.wav,Two other cases also were under advisement.
24,./data/train/FALK0/SI658.WAV.wav,The straight line would symbolize its uniqueness
25,./data/train/FALK0/SX186.WAV.wav,Would a tomboy often play outdoors?
26,./data/train/FALK0/SX276.WAV.wav,John's brother repainted the garage door.
27,./data/train/FALK0/SX366.WAV.wav,Will you please confirm government policy regarding waste removal?
28,./data/train/FALK0/SX6.WAV.wav,Bright sunshine shimmers on the ocean.
29,./data/train/FALK0/SX96.WAV.wav,Masquerade parties tax one's imagination.
30,./data/train/FALR0/SA1.WAV.wav,She had your dark suit in greasy wash water all year.
31,./data/train/FALR0/SA2.WAV.wav,Don't ask me to carry an oily rag like that.
32,./data/train/FALR0/SI1325.WAV.wav,Quite often
33,./data/train/FALR0/SI1955.WAV.wav,Like enough we'll all be up on top by sundown.
34,./data/train/FALR0/SI695.WAV.wav,The new birth is immediate and instantaneous.
35,./data/train/FALR0/SX155.WAV.wav,The water contained too much chlorine and stung his eyes.
36,./data/train/FALR0/SX245.WAV.wav,Does Hindu ideology honor cows?
37,./data/train/FALR0/SX335.WAV.wav,Gus saw pine trees and redwoods on his walk through Sequoia National Forest.
38,./data/train/FALR0/SX425.WAV.wav,Movies never have enough villains.
39,./data/train/FALR0/SX65.WAV.wav,Challenge each general's intelligence.
40,./data/train/FAPB0/SA1.WAV.wav,She had your dark suit in greasy wash water all year.
41,./data/train/FAPB0/SA2.WAV.wav,Don't ask me to carry an oily rag like that.
42,./data/train/FAPB0/SI1063.WAV.wav,No question ruffles him or causes him to hesitate.
43,./data/train/FAPB0/SI1693.WAV.wav,It was awkward: very awkward.
44,./data/train/FAPB0/SI2323.WAV.wav,When we left Washington his son Tad was ill and Mrs. Lincoln hysterical.
45,./data/train/FAPB0/SX163.WAV.wav,They remained lifelong friends and companions.
46,./data/train/FAPB0/SX253.WAV.wav,By eating yogurt
47,./data/train/FAPB0/SX343.WAV.wav,The frightened child was gently subdued by his big brother.
48,./data/train/FAPB0/SX433.WAV.wav,The overweight charmer could slip poison into anyone's tea.
49,./data/train/FAPB0/SX73.WAV.wav,Cliff's display was misplaced on the screen.
50,./data/train/FBAS0/SA1.WAV.wav,She had your dark suit in greasy wash water all year.
51,./data/train/FBAS0/SA2.WAV.wav,Don't ask me to carry an oily rag like that.
52,./data/train/FBAS0/SI1387.WAV.wav,Several factors contributed to this change.
53,./data/train/FBAS0/SI1472.WAV.wav,She greeted her husband's colleagues with smiling politeness
54,./data/train/FBAS0/SI2066.WAV.wav,He saw a pint-sized man with a graying spade beard and an unusually large head.
55,./data/train/FBAS0/SX127.WAV.wav,The emperor had a mean temper.
